painting,paintingLabel,depicts,depictsLabel
http://www.wikidata.org/entity/Q22083516,Raj,http://www.wikidata.org/entity/Q140,lew afrykański
http://www.wikidata.org/entity/Q22083516,Raj,http://www.wikidata.org/entity/Q61865,paw indyjski
http://www.wikidata.org/entity/Q22083516,Raj,http://www.wikidata.org/entity/Q70899,Adam
http://www.wikidata.org/entity/Q22083516,Raj,http://www.wikidata.org/entity/Q127960,lampart
http://www.wikidata.org/entity/Q22083516,Raj,http://www.wikidata.org/entity/Q830183,Ewa
http://www.wikidata.org/entity/Q22083532,Haman błagający Esterę o łaskę,http://www.wikidata.org/entity/Q650680,Haman
http://www.wikidata.org/entity/Q22083532,Haman błagający Esterę o łaskę,http://www.wikidata.org/entity/Q732413,Estera
http://www.wikidata.org/entity/Q22083592,Dawid z głową Goliata,http://www.wikidata.org/entity/Q23640,głowa
http://www.wikidata.org/entity/Q22083592,Dawid z głową Goliata,http://www.wikidata.org/entity/Q41370,Dawid
http://www.wikidata.org/entity/Q22083592,Dawid z głową Goliata,http://www.wikidata.org/entity/Q192785,Goliat
http://www.wikidata.org/entity/Q22083592,Dawid z głową Goliata,http://www.wikidata.org/entity/Q101195208,beheaded head
http://www.wikidata.org/entity/Q22083649,Kwiaty,http://www.wikidata.org/entity/Q506,kwiat
http://www.wikidata.org/entity/Q22083685,Studium dwóch apostołów,http://www.wikidata.org/entity/Q43412,Apostoł
http://www.wikidata.org/entity/Q22083780,Chłopskie bachanalia,http://www.wikidata.org/entity/Q131512,rolnik
http://www.wikidata.org/entity/Q22083780,Chłopskie bachanalia,http://www.wikidata.org/entity/Q163709,satyr
http://www.wikidata.org/entity/Q22083780,Chłopskie bachanalia,http://www.wikidata.org/entity/Q284865,Putto
http://www.wikidata.org/entity/Q22083799,Studium głowy świętego (św. Hubert?),http://www.wikidata.org/entity/Q8441,mężczyzna
http://www.wikidata.org/entity/Q22083799,Studium głowy świętego (św. Hubert?),http://www.wikidata.org/entity/Q43115,święty
http://www.wikidata.org/entity/Q22083799,Studium głowy świętego (św. Hubert?),http://www.wikidata.org/entity/Q250867,prezbiter katolicki
http://www.wikidata.org/entity/Q22083809,Niedobrana para (Vanitas),http://www.wikidata.org/entity/Q467,kobieta
http://www.wikidata.org/entity/Q22083809,Niedobrana para (Vanitas),http://www.wikidata.org/entity/Q8441,mężczyzna
http://www.wikidata.org/entity/Q22083809,Niedobrana para (Vanitas),http://www.wikidata.org/entity/Q13147,czaszka
http://www.wikidata.org/entity/Q22083873,Chrystus z uczniami w Emaus,http://www.wikidata.org/entity/Q302,Jezus Chrystus
http://www.wikidata.org/entity/Q22083873,Chrystus z uczniami w Emaus,http://www.wikidata.org/entity/Q8441,mężczyzna
http://www.wikidata.org/entity/Q22083873,Chrystus z uczniami w Emaus,http://www.wikidata.org/entity/Q6460735,posiłek
http://www.wikidata.org/entity/Q22083873,Chrystus z uczniami w Emaus,http://www.wikidata.org/entity/Q12888135,świeca
http://www.wikidata.org/entity/Q22083984,Adam i Ewa,http://www.wikidata.org/entity/Q2102,węże
http://www.wikidata.org/entity/Q22083984,Adam i Ewa,http://www.wikidata.org/entity/Q70899,Adam
http://www.wikidata.org/entity/Q22083984,Adam i Ewa,http://www.wikidata.org/entity/Q830183,Ewa
http://www.wikidata.org/entity/Q22084125,Palacze w karczmie,http://www.wikidata.org/entity/Q8441,mężczyzna
http://www.wikidata.org/entity/Q22084125,Palacze w karczmie,http://www.wikidata.org/entity/Q104526,fajka
http://www.wikidata.org/entity/Q22084418,Zimowy krajobraz,http://www.wikidata.org/entity/Q1311,zima
http://www.wikidata.org/entity/Q22084423,Gra w karty,http://www.wikidata.org/entity/Q467,kobieta
http://www.wikidata.org/entity/Q22084423,Gra w karty,http://www.wikidata.org/entity/Q8441,mężczyzna
http://www.wikidata.org/entity/Q22084423,Gra w karty,http://www.wikidata.org/entity/Q9103,pierś
http://www.wikidata.org/entity/Q22084423,Gra w karty,http://www.wikidata.org/entity/Q41207,moneta
