"object_id","url","desc","img_src","full_img_src","is_sent"
29,"https://zbiory.mnk.pl/pl/katalog/419925","Rozpogodzenie po deszczu w prowincji Tsushima, plansza 69. z serii: Widoki słynnych miejsc w sześćdziesięciu kilku prowincjach / Rokuju yoshu meisho zue, Ichiryusai Hiroshige I lub II","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/1b/f3/1bf3c475470af78208f2e6816c3ecf92.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/1b/f3/1bf3c475470af78208f2e6816c3ecf92.jpg",0
30,"https://zbiory.mnk.pl/pl/katalog/450688","Aktor w roli Arakawy Kurando Hirotsuny, Kunisada, Utagawa (1786-1864)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/2e/97/2e97b6dfeb2fafc9f7d6cbd8732f054f.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/2e/97/2e97b6dfeb2fafc9f7d6cbd8732f054f.jpg",0
31,"https://zbiory.mnk.pl/pl/katalog/365138","Deszcz wieczorny w Kawasaki, plansza 2. z serii: Osiem widoków Omi / Omi Hakkei, Hiroshige, Ichiryusai (1797-1858)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/59/cc/59cc44ba98e9e6a85456452f38d5ea42.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/59/cc/59cc44ba98e9e6a85456452f38d5ea42.jpg",0
32,"https://zbiory.mnk.pl/pl/katalog/264208","ENRICO COLEMAN - Deszczowa pogoda. Karta w: Galleria d'arte moderna Roma. Danesi Editore Via Bagni, Roma, Fasc. X., Danesi Editore, via Bagni Roma","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/38/9c/389c89637c1b2e73358bc6c749f484c8.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/38/9c/389c89637c1b2e73358bc6c749f484c8.jpg",0
33,"https://zbiory.mnk.pl/pl/katalog/131072","Nocny deszcz w Yoshiwara / Yoshiwara-no yoru-no ame, z serii: Osiem widoków Edo / Edo hakkei, Eisen, Keisai (1790-1848)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/7e/42/7e42b4fa0881de430241ceaa18628492.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/7e/42/7e42b4fa0881de430241ceaa18628492.jpg",0
34,"https://zbiory.mnk.pl/pl/katalog/444870","Aktor Nakamura Utaemon w roli Amagoi Komachi (Komachi modlącej się o deszcz), Kunisada, Utagawa (1786-1864)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/46/81/468105ca0a79d0350e3324e37fe6c826.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/46/81/468105ca0a79d0350e3324e37fe6c826.jpg",0
35,"https://zbiory.mnk.pl/pl/katalog/536402","Powrót w deszcz, reprodukcja rysunku Artura Grottgera, nieznany","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/24/a3/24a3c228ee67c19713df32a25b155129.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/24/a3/24a3c228ee67c19713df32a25b155129.jpg",0
36,"https://zbiory.mnk.pl/pl/katalog/167252","Most Shohei na rzece Kanda w deszczu / Shoheibashi, Seido, Kandagawa, plansza 46. z serii: Sto słynnych widoków Edo / Meisho Edo hyakkei, Hiroshige, Ichiryusai (1797-1858)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/92/31/923164dc7a5a80ba034b375e464aa505.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/92/31/923164dc7a5a80ba034b375e464aa505.jpg",0
37,"https://zbiory.mnk.pl/pl/katalog/206235","Majowy deszcz w Oiso, plansza 9. z serii: Pięćdziesiąt trzy etapy drogi Tokaido / Tokaido gojusan zugi no uchi, Hiroshige, Ichiryusai (1797-1858)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/5f/5a/5f5a0b16e742fa54baf479b63ee122f2.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/5f/5a/5f5a0b16e742fa54baf479b63ee122f2.jpg",0
38,"https://zbiory.mnk.pl/pl/katalog/496764","Dwaj aktorzy w scenie z dramatu „Shinzō tsurifune kidan”: Seki Sanjūrō III jako przewrócony Giheiji-baba i Bandō Shiuka jako Danshichi Okaji z mieczem, Utagawa, Kuniyoshi (1797-1861)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/2b/7a/2b7a265c3deaf3bbc657b21f6ab2f22a.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/2b/7a/2b7a265c3deaf3bbc657b21f6ab2f22a.jpg",0
