"corpus","user/mw0000/archiwa_spoleczne"
"subcorpus","###M475432996817978613###"
Item,Frequency,DOCF,Relative DOCF
"świat",2,2,33.33333
"murzyn",2,2,33.33333
"współbadacz",2,1,16.66667
"mówiony",2,1,16.66667
"zainteresowania",2,2,33.33333
"fotograficzny",2,1,16.66667
"obóz",2,1,16.66667
"zewnętrzny",2,1,16.66667
"odegrać",2,1,16.66667
"zorganizować",2,2,33.33333
"oprócz",2,2,33.33333
"świętować",2,1,16.66667
"niż",2,2,33.33333
"inicjatorka",2,2,33.33333
"integracja",2,2,33.33333
"oddolnie",2,2,33.33333
"animować",2,2,33.33333
"k-orso",2,1,16.66667
"potencjał",2,2,33.33333
"język",2,1,16.66667
"powstanie",2,1,16.66667
"kierować",2,2,33.33333
"przebiegać",2,2,33.33333
"przedrostek",2,1,16.66667
"przekroczyć",2,2,33.33333
"gość",2,2,33.33333
"kontekstowy",2,1,16.66667
"kooperatywny",2,1,16.66667
"próbować",2,1,16.66667
"awd",2,1,16.66667
"remont",2,1,16.66667
"rozproszenie",2,1,16.66667
"lach",2,2,33.33333
"składać",2,2,33.33333
"spacer",2,2,33.33333
"silny",2,1,16.66667
"międzypokoleniowy",2,2,33.33333
"uczestnictwo",2,2,33.33333
"uj",2,1,16.66667
"alternatywny",2,1,16.66667
"miałam",2,1,16.66667
"trafić",2,1,16.66667
"mat.",2,2,33.33333
"niezbędny",2,2,33.33333
"ok.",2,1,16.66667
"dół",2,1,16.66667
"oprzeć",2,2,33.33333
"sępólnie",2,1,16.66667
"odbiorca",2,1,16.66667
"bliski",2,2,33.33333
"własność",2,1,16.66667
"świder",2,1,16.66667
"udokumentować",2,1,16.66667
"więcej",2,2,33.33333
"organizator",2,1,16.66667
"alona",2,1,16.66667
"pojęcie",2,1,16.66667
"dość",2,2,33.33333
"przekładać",2,2,33.33333
"kongres.cas.org",2,1,16.66667
"dziać",2,2,33.33333
"rodzimy",2,1,16.66667
"badaczka",2,1,16.66667
"respondent",2,1,16.66667
"spuścizna",2,1,16.66667
"uczestniczka",2,2,33.33333
"bibliotekarz",2,1,16.66667
"etnograf",2,2,33.33333
"wracać",2,2,33.33333
"góral",2,2,33.33333
