"corpus","user/mw0000/archiwa_spoleczne"
"subcorpus","-"
Item,Frequency,Relative frequency,DOCF,Relative DOCF
"zbadać",56,108.22741,4,2.16216
"zaliczyć",56,108.22741,9,4.86486
"mieszkać",56,108.22741,25,13.51351
"otworzyć",55,106.29478,28,15.13514
"odkrywać",55,106.29478,29,15.67568
"zakończyć",55,106.29478,19,10.27027
"pomóc",54,104.36214,32,17.29730
"widzieć",54,104.36214,19,10.27027
"skorzystać",54,104.36214,21,11.35135
"zrealizować",53,102.42951,21,11.35135
"ustalić",53,102.42951,8,4.32432
"zobaczyć",52,100.49688,29,15.67568
"upowszechniać",52,100.49688,26,14.05405
"prosić",51,98.56425,27,14.59459
"angażować",51,98.56425,16,8.64865
"ok.",50,96.63162,4,2.16216
"odnaleźć",50,96.63162,13,7.02703
"umieszczać",50,96.63162,12,6.48649
"dokonać",50,96.63162,22,11.89189
"objąć",50,96.63162,12,6.48649
"traktować",49,94.69898,12,6.48649
"złożyć",49,94.69898,19,10.27027
"zastać",49,94.69898,4,2.16216
"ograniczyć",49,94.69898,17,9.18919
"wyrazić",49,94.69898,23,12.43243
"rozmawiać",49,94.69898,16,8.64865
"fot.",49,94.69898,9,4.86486
"sprawdzić",48,92.76635,11,5.94595
"zaprezentować",48,92.76635,20,10.81081
"odwiedzać",48,92.76635,16,8.64865
"decydować",48,92.76635,10,5.40541
"dysponować",48,92.76635,11,5.94595
"zapisywać",47,90.83372,29,15.67568
"zdarzać",47,90.83372,10,5.40541
"ratować",47,90.83372,13,7.02703
"dodawać",47,90.83372,23,12.43243
"inspirować",46,88.90109,25,13.51351
"wprowadzać",46,88.90109,11,5.94595
"skupiać",46,88.90109,19,10.27027
"podać",46,88.90109,12,6.48649
"różnić",46,88.90109,11,5.94595
"docierać",45,86.96845,15,8.10811
"udzielać",45,86.96845,9,4.86486
"zaznaczyć",45,86.96845,15,8.10811
"im.",45,86.96845,10,5.40541
"skupić",44,85.03582,16,8.64865
"uruchomić",44,85.03582,21,11.35135
"sięgać",44,85.03582,17,9.18919
"przenieść",44,85.03582,10,5.40541
"zarejestrować",44,85.03582,17,9.18919
"zamieścić",43,83.10319,19,10.27027
"poddać",43,83.10319,14,7.56757
"przeglądać",43,83.10319,21,11.35135
"wspominać",42,81.17056,13,7.02703
"cieszyć",42,81.17056,18,9.72973
"nawiązać",42,81.17056,14,7.56757
"przejąć",41,79.23792,8,4.32432
"podkreślać",41,79.23792,13,7.02703
"zauważyć",41,79.23792,7,3.78378
"przeznaczyć",41,79.23792,12,6.48649
"postrzegać",41,79.23792,7,3.78378
"połączyć",41,79.23792,15,8.10811
"czytać",41,79.23792,21,11.35135
"zdecydować",41,79.23792,10,5.40541
"wejść",40,77.30529,10,5.40541
"informować",39,75.37266,20,10.81081
"czynić",39,75.37266,9,4.86486
"zdawać",39,75.37266,14,7.56757
"świadczyć",39,75.37266,23,12.43243
"uwzględnić",39,75.37266,11,5.94595
"zdobyć",39,75.37266,15,8.10811
"sporządzać",39,75.37266,5,2.70270
"dbać",39,75.37266,19,10.27027
"spotykać",39,75.37266,15,8.10811
"zapewniać",39,75.37266,14,7.56757
"zaprosić",38,73.44003,21,11.35135
"spełniać",38,73.44003,7,3.78378
"ocalić",38,73.44003,23,12.43243
"zachodzić",38,73.44003,13,7.02703
"zdefiniować",38,73.44003,7,3.78378
"dowiedzieć",38,73.44003,31,16.75676
"rozpowszechniać",38,73.44003,13,7.02703
"obserwować",37,71.50740,11,5.94595
"podkreślić",37,71.50740,13,7.02703
"kształtować",37,71.50740,15,8.10811
"opierać",37,71.50740,11,5.94595
