"corpus","user/mw0000/archiwa_spoleczne"
"subcorpus","-"
Item,Frequency,Relative frequency,DOCF,Relative DOCF
"tracić",12,23.19159,5,2.70270
"układać",12,23.19159,5,2.70270
"poddawać",12,23.19159,6,3.24324
"ulegać",12,23.19159,5,2.70270
"uszkodzić",12,23.19159,3,1.62162
"podpisywać",12,23.19159,6,3.24324
"zewidencjonować",12,23.19159,6,3.24324
"wyznaczać",12,23.19159,6,3.24324
"uświadamiać",12,23.19159,7,3.78378
"odczytać",12,23.19159,6,3.24324
"regulować",12,23.19159,4,2.16216
"wystawiać",12,23.19159,5,2.70270
"wyjąć",12,23.19159,5,2.70270
"nadesłać",12,23.19159,9,4.86486
"itd.",12,23.19159,5,2.70270
"propagować",12,23.19159,7,3.78378
"przejrzeć",12,23.19159,8,4.32432
"klasyfikować",12,23.19159,2,1.08108
"nieść",12,23.19159,7,3.78378
"radzić",12,23.19159,10,5.40541
"poprowadzić",12,23.19159,11,5.94595
"obchodzić",12,23.19159,7,3.78378
"zyskować",12,23.19159,7,3.78378
"formować",12,23.19159,7,3.78378
"ocalać",12,23.19159,9,4.86486
"odwzorować",12,23.19159,4,2.16216
"oprowadzać",12,23.19159,5,2.70270
"opiekować",11,21.25896,7,3.78378
"dostać",11,21.25896,6,3.24324
"sprawić",11,21.25896,6,3.24324
"spędzać",11,21.25896,9,4.86486
"przesłać",11,21.25896,7,3.78378
"sugerować",11,21.25896,5,2.70270
"ujawniać",11,21.25896,6,3.24324
"ukształtować",11,21.25896,7,3.78378
"ilustrować",11,21.25896,7,3.78378
"przyczyniać",11,21.25896,7,3.78378
"ustać",11,21.25896,5,2.70270
"doświadczyć",11,21.25896,8,4.32432
"podsumowywać",11,21.25896,8,4.32432
"wdrożyć",11,21.25896,4,2.16216
"dotować",11,21.25896,2,1.08108
"oddziaływać",11,21.25896,4,2.16216
"wnioskować",11,21.25896,3,1.62162
"współprowadzić",11,21.25896,8,4.32432
"zmierzać",11,21.25896,7,3.78378
"przydać",11,21.25896,4,2.16216
"spodziewać",11,21.25896,8,4.32432
"wzbogacać",11,21.25896,7,3.78378
"poświęcać",11,21.25896,6,3.24324
"wyznaczyć",11,21.25896,5,2.70270
"przebywać",11,21.25896,8,4.32432
"numerować",11,21.25896,4,2.16216
"zakorzenić",11,21.25896,7,3.78378
"przywracać",11,21.25896,7,3.78378
"wyróżniać",11,21.25896,6,3.24324
"śledzić",11,21.25896,9,4.86486
"docenić",11,21.25896,7,3.78378
"odzyskać",11,21.25896,7,3.78378
"przyporządkować",11,21.25896,4,2.16216
"zatrudnić",11,21.25896,4,2.16216
"przeżyć",11,21.25896,4,2.16216
"zdecydowałam",11,21.25896,1,0.54054
"przyświecać",11,21.25896,6,3.24324
"upubliczniać",11,21.25896,4,2.16216
"przejawiać",11,21.25896,8,4.32432
"lgbtqia",11,21.25896,2,1.08108
"zmniejszyć",11,21.25896,3,1.62162
"zorientować",11,21.25896,6,3.24324
"zrezygnować",11,21.25896,5,2.70270
"itp.",11,21.25896,4,2.16216
"przyłączyć",11,21.25896,7,3.78378
"rozwiązywać",11,21.25896,7,3.78378
"zatrudniać",11,21.25896,3,1.62162
"zmusić",10,19.32632,4,2.16216
"spełnić",10,19.32632,5,2.70270
"dowodzić",10,19.32632,5,2.70270
"przestrzegać",10,19.32632,6,3.24324
"spędzić",10,19.32632,4,2.16216
"opłacić",10,19.32632,4,2.16216
"studiować",10,19.32632,5,2.70270
"upoważniać",10,19.32632,9,4.86486
"oświadczać",10,19.32632,10,5.40541
"ubiegać",10,19.32632,3,1.62162
"uniknąć",10,19.32632,6,3.24324
"ujmować",10,19.32632,7,3.78378
"kupować",10,19.32632,5,2.70270
"podejść",10,19.32632,8,4.32432
"uregulować",10,19.32632,4,2.16216
"utrudniać",10,19.32632,5,2.70270
"widnieć",10,19.32632,2,1.08108
"weryfikować",10,19.32632,6,3.24324
"mieliśmy",10,19.32632,7,3.78378
"mierzyć",10,19.32632,7,3.78378
"współdziałać",10,19.32632,3,1.62162
"wystąpić",10,19.32632,5,2.70270
"przypomnieć",10,19.32632,6,3.24324
"poruszyć",10,19.32632,5,2.70270
"kodować",10,19.32632,1,0.54054
"wyjaśnić",10,19.32632,7,3.78378
"wywieźć",10,19.32632,3,1.62162
"edukować",10,19.32632,9,4.86486
"pojmować",10,19.32632,5,2.70270
"wyrastać",10,19.32632,6,3.24324
"nakładać",10,19.32632,3,1.62162
"nadsyłać",10,19.32632,4,2.16216
"powtórzyć",10,19.32632,4,2.16216
"zaakceptować",10,19.32632,9,4.86486
"położyć",10,19.32632,6,3.24324
"wyłaniać",10,19.32632,10,5.40541
"zadecydować",10,19.32632,5,2.70270
"praktykować",10,19.32632,2,1.08108
"wie",10,19.32632,7,3.78378
"ponosić",10,19.32632,9,4.86486
"sięgnąć",10,19.32632,4,2.16216
"przeciwdziałać",10,19.32632,6,3.24324
"zauważać",10,19.32632,6,3.24324
"zdjąć",10,19.32632,6,3.24324
"rządzić",10,19.32632,7,3.78378
"stwarzać",10,19.32632,4,2.16216
"nastawić",10,19.32632,5,2.70270
"przytoczyć",10,19.32632,4,2.16216
"przywiązywać",10,19.32632,4,2.16216
"rozpoznawać",10,19.32632,7,3.78378
"odnotować",10,19.32632,4,2.16216
"zwiększać",10,19.32632,4,2.16216
"komunikować",10,19.32632,7,3.78378
"doceniać",10,19.32632,8,4.32432
"płynąć",10,19.32632,9,4.86486
"spisywać",9,17.39369,5,2.70270
"sprostować",9,17.39369,9,4.86486
"podnosić",9,17.39369,6,3.24324
"stracić",9,17.39369,6,3.24324
"stworzyliśmy",9,17.39369,6,3.24324
"szkolić",9,17.39369,6,3.24324
"umiejscowić",9,17.39369,4,2.16216
"uchwalić",9,17.39369,2,1.08108
"kultywować",9,17.39369,7,3.78378
"zawężać",9,17.39369,7,3.78378
"kłaść",9,17.39369,4,2.16216
"logować",9,17.39369,9,4.86486
"począć",9,17.39369,6,3.24324
"uprawiać",9,17.39369,4,2.16216
"uprościć",9,17.39369,5,2.70270
"podchodzić",9,17.39369,7,3.78378
"upublicznić",9,17.39369,6,3.24324
"upłynąć",9,17.39369,4,2.16216
"ustanowić",9,17.39369,6,3.24324
"usystematyzować",9,17.39369,4,2.16216
"doświadczać",9,17.39369,4,2.16216
"podtrzymywać",9,17.39369,5,2.70270
"uzależnić",9,17.39369,4,2.16216
"datować",9,17.39369,4,2.16216
"pojąć",9,17.39369,5,2.70270
"dyskutować",9,17.39369,6,3.24324
"wkładać",9,17.39369,4,2.16216
"pomyśleć",9,17.39369,4,2.16216
"popierać",9,17.39369,4,2.16216
"poprawić",9,17.39369,6,3.24324
"współwystępować",9,17.39369,2,1.08108
"postarać",9,17.39369,4,2.16216
"dążyć",9,17.39369,4,2.16216
"wyjechać",9,17.39369,6,3.24324
"poszerzyć",9,17.39369,5,2.70270
"dochodzić",9,17.39369,4,2.16216
"wyobrazić",9,17.39369,5,2.70270
"eksponować",9,17.39369,3,1.62162
"przywołać",9,17.39369,6,3.24324
"paść",9,17.39369,9,4.86486
"eksplorować",9,17.39369,5,2.70270
"wysyłać",9,17.39369,5,2.70270
"interpretować",9,17.39369,5,2.70270
"napływać",9,17.39369,3,1.62162
"włożyć",9,17.39369,5,2.70270
"zacierać",9,17.39369,6,3.24324
"przebiegać",9,17.39369,8,4.32432
"zamówić",9,17.39369,8,4.32432
"narazić",9,17.39369,4,2.16216
"naruszać",9,17.39369,4,2.16216
"odbijać",9,17.39369,7,3.78378
"zamawiać",9,17.39369,8,4.32432
"przekonywać",9,17.39369,6,3.24324
"zamierzać",9,17.39369,5,2.70270
"nauczać",9,17.39369,2,1.08108
"przemyśleć",9,17.39369,4,2.16216
"odrzucić",9,17.39369,4,2.16216
"pobrać",9,17.39369,7,3.78378
"zapowiadać",9,17.39369,7,3.78378
"przesyłać",9,17.39369,7,3.78378
"starać się",9,17.39369,5,2.70270
"przybierać",9,17.39369,6,3.24324
"przyciągać",9,17.39369,6,3.24324
"grać",9,17.39369,5,2.70270
"przyjrzeć",9,17.39369,5,2.70270
"inspiracje",9,17.39369,1,0.54054
"odebrać",9,17.39369,9,4.86486
"odejść",9,17.39369,6,3.24324
"przystąpić",9,17.39369,4,2.16216
"porównać",9,17.39369,5,2.70270
"zostawić",9,17.39369,6,3.24324
"zostawiać",9,17.39369,4,2.16216
"jeździć",9,17.39369,6,3.24324
"chcieliśmy",9,17.39369,8,4.32432
"ʤː",9,17.39369,1,0.54054
"zaprzyjaźnić",8,15.46106,4,2.16216
"borykać",8,15.46106,4,2.16216
"brzmieć",8,15.46106,3,1.62162
"osadzić",8,15.46106,5,2.70270
"ofiarować",8,15.46106,6,3.24324
"oswoić",8,15.46106,5,2.70270
"otrzymaliśmy",8,15.46106,6,3.24324
"przeważać",8,15.46106,7,3.78378
"twierdzić",8,15.46106,6,3.24324
"uchylić",8,15.46106,3,1.62162
"przełożyć",8,15.46106,5,2.70270
"pasować",8,15.46106,4,2.16216
"uczęszczać",8,15.46106,5,2.70270
"poczuć",8,15.46106,4,2.16216
"dołączać",8,15.46106,4,2.16216
"uratować",8,15.46106,4,2.16216
"usłyszeć",8,15.46106,6,3.24324
"podporządkować",8,15.46106,5,2.70270
"użytkować",8,15.46106,4,2.16216
"pogłębiać",8,15.46106,7,3.78378
"wdrażać",8,15.46106,6,3.24324
"pokrywać",8,15.46106,3,1.62162
"zm.",8,15.46106,2,1.08108
"minąć",8,15.46106,6,3.24324
"zlecić",8,15.46106,5,2.70270
"wspomniałam",8,15.46106,3,1.62162
"objawiać",8,15.46106,4,2.16216
"porównywać",8,15.46106,2,1.08108
"wygenerować",8,15.46106,3,1.62162
"postępywać",8,15.46106,4,2.16216
"wykazywać",8,15.46106,5,2.70270
"wynieść",8,15.46106,3,1.62162
"wypracowywać",8,15.46106,2,1.08108
"nabyć",8,15.46106,5,2.70270
"wyrzucić",8,15.46106,4,2.16216
"wywodzić",8,15.46106,8,4.32432
"poszanować",8,15.46106,4,2.16216
"wyłączać",8,15.46106,4,2.16216
"ppi",8,15.46106,2,1.08108
"ew.",8,15.46106,1,0.54054
"ewoluować",8,15.46106,5,2.70270
"formułować",8,15.46106,4,2.16216
"zaistnieć",8,15.46106,4,2.16216
"pominąć",8,15.46106,3,1.62162
"dobrać",8,15.46106,3,1.62162
"zaowocować",8,15.46106,5,2.70270
"zapamiętać",8,15.46106,4,2.16216
"zapominać",8,15.46106,6,3.24324
"zestawić",8,15.46106,5,2.70270
"niszczeć",8,15.46106,3,1.62162
"ginąć",8,15.46106,5,2.70270
"zbliżać",8,15.46106,6,3.24324
"przybrać",8,15.46106,6,3.24324
"cofnąć",8,15.46106,7,3.78378
"przyjechać",8,15.46106,6,3.24324
"przyjeżdżać",8,15.46106,6,3.24324
"zlikwidować",8,15.46106,1,0.54054
"przytaczać",8,15.46106,3,1.62162
"przywieźć",8,15.46106,5,2.70270
"nauczyć",8,15.46106,7,3.78378
"apelować",8,15.46106,6,3.24324
"scharakteryzować",8,15.46106,4,2.16216
"preferować",8,15.46106,3,1.62162
"klikać",7,13.52843,6,3.24324
"zdeponować",7,13.52843,5,2.70270
"spoglądać",7,13.52843,4,2.16216
"przestawać",7,13.52843,6,3.24324
"przerywać",7,13.52843,3,1.62162
"blokować",7,13.52843,4,2.16216
"komplikować",7,13.52843,3,1.62162
"staraliśmy",7,13.52843,5,2.70270
"zastąpić",7,13.52843,6,3.24324
"osiedlać",7,13.52843,5,2.70270
"zlecać",7,13.52843,5,2.70270
"szacować",7,13.52843,5,2.70270
"tkwieć",7,13.52843,5,2.70270
"transkrybować",7,13.52843,2,1.08108
"uczynić",7,13.52843,5,2.70270
"kształcić",7,13.52843,6,3.24324
"załatwiać",7,13.52843,2,1.08108
"pielęgnować",7,13.52843,5,2.70270
"ukierunkować",7,13.52843,4,2.16216
"podważać",7,13.52843,3,1.62162
"podarować",7,13.52843,6,3.24324
"ustawiać",7,13.52843,2,1.08108
"podnieść",7,13.52843,3,1.62162
"lokować",7,13.52843,4,2.16216
"podobać",7,13.52843,6,3.24324
"uzgodnić",7,13.52843,4,2.16216
"uznałam",7,13.52843,1,0.54054
"podłączyć",7,13.52843,3,1.62162
"byłam",7,13.52843,4,2.16216
"miałam",7,13.52843,4,2.16216
"wisieć",7,13.52843,5,2.70270
"wydarzyć",7,13.52843,5,2.70270
"wygasnąć",7,13.52843,4,2.16216
"postulować",7,13.52843,5,2.70270
"obsługiwać",7,13.52843,3,1.62162
"wyrzucać",7,13.52843,2,1.08108
"powrócić",7,13.52843,7,3.78378
"emerytować",7,13.52843,6,3.24324
"zabiegać",7,13.52843,5,2.70270
"wyzwolić",7,13.52843,2,1.08108
"zaczerpnąć",7,13.52843,4,2.16216
"zakupić",7,13.52843,3,1.62162
"wzrastać",7,13.52843,5,2.70270
"zabronić",7,13.52843,7,3.78378
"zalogować",7,13.52843,5,2.70270
"przepisać",7,13.52843,3,1.62162
"nałożyć",7,13.52843,1,0.54054
"bawić",7,13.52843,6,3.24324
"zarysować",7,13.52843,4,2.16216
"skazać",7,13.52843,5,2.70270
"zatwierdzić",7,13.52843,4,2.16216
"zawiązać",7,13.52843,4,2.16216
"przeżywać",7,13.52843,6,3.24324
"doczekać",7,13.52843,3,1.62162
"zderzyć",7,13.52843,4,2.16216
"zdążyć",7,13.52843,3,1.62162
"zerwać",7,13.52843,5,2.70270
"zezwalać",7,13.52843,6,3.24324
"konsultować",7,13.52843,4,2.16216
"obawiać",7,13.52843,4,2.16216
"odegrać",7,13.52843,5,2.70270
"rodzaj",7,13.52843,4,2.16216
"zagwarantować",7,13.52843,3,1.62162
"przekraczać",7,13.52843,5,2.70270
"odnieść",7,13.52843,2,1.08108
"rozstrzygnąć",7,13.52843,3,1.62162
"rozstrzygać",7,13.52843,3,1.62162
"wyciągać",7,13.52843,5,2.70270
"rozważać",7,13.52843,7,3.78378
"scalić",7,13.52843,3,1.62162
"selekcjonować",7,13.52843,3,1.62162
"odziedziczyć",7,13.52843,3,1.62162
"reagować",7,13.52843,5,2.70270
"skomponować",6,11.59579,5,2.70270
"skonstruować",6,11.59579,4,2.16216
"negocjować",6,11.59579,3,1.62162
"spodziewaliśmy",6,11.59579,2,1.08108
"zaskakiwać",6,11.59579,3,1.62162
"oprac.",6,11.59579,2,1.08108
"generalizować",6,11.59579,2,1.08108
"oprogramować",6,11.59579,3,1.62162
"startować",6,11.59579,6,3.24324
"szanować",6,11.59579,3,1.62162
"tagować",6,11.59579,1,0.54054
"dotknąć",6,11.59579,3,1.62162
"owocować",6,11.59579,3,1.62162
"pasjonować",6,11.59579,4,2.16216
"umieć",6,11.59579,6,3.24324
"kwestionować",6,11.59579,3,1.62162
"pobudzać",6,11.59579,6,3.24324
"opuścić",6,11.59579,4,2.16216
"pociągać",6,11.59579,4,2.16216
"upewnić",6,11.59579,3,1.62162
"uruchamiać",6,11.59579,5,2.70270
"ustrukturyzować",6,11.59579,1,0.54054
"uwiecznić",6,11.59579,5,2.70270
"uwolnić",6,11.59579,4,2.16216
"uzasadnić",6,11.59579,2,1.08108
"malować",6,11.59579,5,2.70270
"zginąć",6,11.59579,3,1.62162
"uświadomić",6,11.59579,5,2.70270
"zinwentaryzować",6,11.59579,4,2.16216
"wieść",6,11.59579,3,1.62162
"polecieć",6,11.59579,6,3.24324
"poprawiać",6,11.59579,5,2.70270
"poprzestawać",6,11.59579,5,2.70270
"wyciągnąć",6,11.59579,6,3.24324
"wydobyć",6,11.59579,6,3.24324
"postanowiłam",6,11.59579,1,0.54054
"wygłosić",6,11.59579,6,3.24324
"poszukać",6,11.59579,5,2.70270
"wypowiadać",6,11.59579,4,2.16216
"potwierdzić",6,11.59579,3,1.62162
"wypadać",6,11.59579,4,2.16216
"wyjmować",6,11.59579,2,1.08108
"edytować",6,11.59579,3,1.62162
"poświadczać",6,11.59579,3,1.62162
"wyspecjalizować",6,11.59579,4,2.16216
"wysiedlić",6,11.59579,2,1.08108
"wysuwać",6,11.59579,3,1.62162
"rozporządzać",6,11.59579,2,1.08108
"wyszukać",6,11.59579,4,2.16216
"anulować",6,11.59579,6,3.24324
"wzbudzić",6,11.59579,4,2.16216
"etc.",6,11.59579,3,1.62162
"nanieść",6,11.59579,3,1.62162
"wzywać",6,11.59579,3,1.62162
"narzucać",6,11.59579,3,1.62162
"zainstalować",6,11.59579,6,3.24324
"przebadać",6,11.59579,1,0.54054
"zamierzyć",6,11.59579,3,1.62162
"przecenić",6,11.59579,3,1.62162
"zafascynować",6,11.59579,6,3.24324
"przenikać",6,11.59579,2,1.08108
"zainaugurować",6,11.59579,5,2.70270
"zakazić",6,11.59579,2,1.08108
"nasycić",6,11.59579,2,1.08108
"przekroczyć",6,11.59579,6,3.24324
"zaopatrzyć",6,11.59579,3,1.62162
"zapoznawać",6,11.59579,3,1.62162
"zasugerować",6,11.59579,4,2.16216
"skomentować",6,11.59579,6,3.24324
"ruszać",6,11.59579,4,2.16216
"starzeć",6,11.59579,3,1.62162
"gościć",6,11.59579,6,3.24324
"przybyć",6,11.59579,5,2.70270
"obiecać",6,11.59579,3,1.62162
"respektować",6,11.59579,3,1.62162
"osierocić",6,11.59579,1,0.54054
"zob.",6,11.59579,4,2.16216
"zorganizowaliśmy",6,11.59579,5,2.70270
"rozpoczęliśmy",6,11.59579,6,3.24324
"dopełniać",6,11.59579,4,2.16216
"jechać",6,11.59579,4,2.16216
"aktualizować",6,11.59579,6,3.24324
"sprowadzać",6,11.59579,4,2.16216
"pukać",6,11.59579,4,2.16216
"sprowadzić",6,11.59579,4,2.16216
"pw.",6,11.59579,4,2.16216
"zaobserwować",6,11.59579,2,1.08108
"sfotografować",6,11.59579,2,1.08108
"aktywizować",5,9.66316,5,2.70270
"ogrzewać",5,9.66316,3,1.62162
"skończyć",5,9.66316,5,2.70270
"skłonić",5,9.66316,5,2.70270
"spalić",5,9.66316,4,2.16216
"spleść",5,9.66316,5,2.70270
"opakować",5,9.66316,4,2.16216
"spróbować",5,9.66316,2,1.08108
"spłonąć",5,9.66316,4,2.16216
"starałam",5,9.66316,1,0.54054
"przesądzać",5,9.66316,3,1.62162
"oscylować",5,9.66316,3,1.62162
"osiągać",5,9.66316,4,2.16216
"sytuować",5,9.66316,3,1.62162
"otaczać",5,9.66316,3,1.62162
"otoczyć",5,9.66316,4,2.16216
"ożywić",5,9.66316,4,2.16216
"przełamywać",5,9.66316,4,2.16216
"ujawnić",5,9.66316,4,2.16216
"ukorzenić",5,9.66316,1,0.54054
"czuwać",5,9.66316,5,2.70270
"pobierać",5,9.66316,3,1.62162
"pochwalić",5,9.66316,4,2.16216
"uniemożliwić",5,9.66316,3,1.62162
"ur.",5,9.66316,1,0.54054
"likwidować",5,9.66316,4,2.16216
"podjęłam",5,9.66316,3,1.62162
"uszeregować",5,9.66316,2,1.08108
"byliśmy",5,9.66316,3,1.62162
"uwieczniać",5,9.66316,1,0.54054
"czyścić",5,9.66316,2,1.08108
"uzasadniać",5,9.66316,4,2.16216
"podziękować",5,9.66316,3,1.62162
"podążać",5,9.66316,2,1.08108
"martwić",5,9.66316,4,2.16216
"pogrupować",5,9.66316,2,1.08108
"wahać",5,9.66316,2,1.08108
"wcielić",5,9.66316,3,1.62162
"pokryć",5,9.66316,3,1.62162
"wieńczyć",5,9.66316,3,1.62162
"witać",5,9.66316,5,2.70270
"adresować",5,9.66316,3,1.62162
"współuczestniczyć",5,9.66316,2,1.08108
"administrować",5,9.66316,2,1.08108
"poprzedzać",5,9.66316,4,2.16216
"poprzeć",5,9.66316,4,2.16216
"wyczerpać",5,9.66316,4,2.16216
"obracać",5,9.66316,3,1.62162
"wydrukować",5,9.66316,4,2.16216
"mogłyby",5,9.66316,5,2.70270
"dziwić",5,9.66316,4,2.16216
"wyjeżdżać",5,9.66316,4,2.16216
"wydłużyć",5,9.66316,3,1.62162
"musieliśmy",5,9.66316,4,2.16216
"wymusić",5,9.66316,5,2.70270
"powielać",5,9.66316,3,1.62162
"wykupić",5,9.66316,5,2.70270
"potrwać",5,9.66316,4,2.16216
"potraktować",5,9.66316,3,1.62162
"wykształcić",5,9.66316,3,1.62162
"powielić",5,9.66316,2,1.08108
"wysunąć",5,9.66316,3,1.62162
"wyprodukować",5,9.66316,2,1.08108
"wyprowadzić",5,9.66316,5,2.70270
"wystosować",5,9.66316,4,2.16216
"wystawić",5,9.66316,2,1.08108
"wzorować",5,9.66316,2,1.08108
"chwalić",5,9.66316,3,1.62162
"wytypować",5,9.66316,2,1.08108
"nakazywać",5,9.66316,3,1.62162
"nakierować",5,9.66316,2,1.08108
"nakleić",5,9.66316,2,1.08108
"wzbudzać",5,9.66316,3,1.62162
"wzrość",5,9.66316,4,2.16216
"profilować",5,9.66316,2,1.08108
"cechować",5,9.66316,5,2.70270
"program",5,9.66316,1,0.54054
"zaakcentować",5,9.66316,5,2.70270
"zablokować",5,9.66316,4,2.16216
"prowadziliśmy",5,9.66316,5,2.70270
"napotkać",5,9.66316,2,1.08108
"zakładałam",5,9.66316,2,1.08108
"zadomowić",5,9.66316,3,1.62162
"narażać",5,9.66316,3,1.62162
"przedrzeć",5,9.66316,3,1.62162
"zainfekować",5,9.66316,1,0.54054
"filtrować",5,9.66316,3,1.62162
"zaaranżować",5,9.66316,2,1.08108
"zakodować",5,9.66316,2,1.08108
"zabierać",5,9.66316,4,2.16216
"cenić",5,9.66316,4,2.16216
"przetworzyć",5,9.66316,3,1.62162
"zatrzymywać",5,9.66316,3,1.62162
"przetłumaczyć",5,9.66316,5,2.70270
"zaoferować",5,9.66316,3,1.62162
"przepracować",5,9.66316,4,2.16216
"przepraszać",5,9.66316,4,2.16216
"zapośredniczyć",5,9.66316,1,0.54054
"zarezerwować",5,9.66316,4,2.16216
"przerwać",5,9.66316,3,1.62162
"zasilać",5,9.66316,3,1.62162
"zastępować",5,9.66316,4,2.16216
"zawiesić",5,9.66316,4,2.16216
"zawilgocić",5,9.66316,3,1.62162
"zawęzić",5,9.66316,2,1.08108
"notować",5,9.66316,4,2.16216
"bać",5,9.66316,3,1.62162
"zdać",5,9.66316,4,2.16216
"śpiewać",5,9.66316,5,2.70270
"zgłębić",5,9.66316,3,1.62162
"redagować",5,9.66316,3,1.62162
"reklamować",5,9.66316,1,0.54054
"rekomendować",5,9.66316,3,1.62162
"przypisywać",5,9.66316,4,2.16216
"rezygnować",5,9.66316,3,1.62162
"odezwać",5,9.66316,4,2.16216
"rozbudzać",5,9.66316,5,2.70270
"rozczarować",5,9.66316,3,1.62162
"odklejać",5,9.66316,3,1.62162
"zniechęcić",5,9.66316,2,1.08108
"przysłużyć",5,9.66316,3,1.62162
"odmówić",5,9.66316,4,2.16216
"odnowić",5,9.66316,3,1.62162
"antropologizowanie",5,9.66316,3,1.62162
"rozłożyć",5,9.66316,3,1.62162
"rzucać",5,9.66316,5,2.70270
"oczyścić",5,9.66316,2,1.08108
"odwoływać",5,9.66316,2,1.08108
"sformułować",5,9.66316,4,2.16216
"świętować",5,9.66316,3,1.62162
"kinuję",4,7.73053,1,0.54054
"skonfrontować",4,7.73053,2,1.08108
"skonsultować",4,7.73053,1,0.54054
"strzelać",4,7.73053,2,1.08108
"zapłacić",4,7.73053,3,1.62162
"opatrywać",4,7.73053,3,1.62162
"aplikować",4,7.73053,2,1.08108
"ciągnąć",4,7.73053,3,1.62162
"sprostać",4,7.73053,2,1.08108
"ciążyć",4,7.73053,2,1.08108
"aranżować",4,7.73053,1,0.54054
"opłacać",4,7.73053,2,1.08108
"stymulować",4,7.73053,2,1.08108
"kreować",4,7.73053,2,1.08108
"sygnalizować",4,7.73053,2,1.08108
"ożywiać",4,7.73053,4,2.16216
"korespondować",4,7.73053,2,1.08108
"uaktualnić",4,7.73053,2,1.08108
"ubrać",4,7.73053,3,1.62162
"pankowska-dowgiało",4,7.73053,2,1.08108
"uchronić",4,7.73053,3,1.62162
"krążyć",4,7.73053,4,2.16216
"dotykać",4,7.73053,3,1.62162
"dowartościować",4,7.73053,3,1.62162
"prześladować",4,7.73053,3,1.62162
"dowiadywać",4,7.73053,4,2.16216
"uformować",4,7.73053,2,1.08108
"ugruntować",4,7.73053,2,1.08108
"ukonstytuować",4,7.73053,3,1.62162
"ukrywać",4,7.73053,3,1.62162
"ul.",4,7.73053,4,2.16216
"ulepszać",4,7.73053,3,1.62162
"ulokować",4,7.73053,2,1.08108
"pochować",4,7.73053,3,1.62162
"upoważnić",4,7.73053,3,1.62162
"uprawniać",4,7.73053,2,1.08108
"uruchomiliśmy",4,7.73053,4,2.16216
"urzeczywistnić",4,7.73053,3,1.62162
"usiłować",4,7.73053,3,1.62162
"lubić",4,7.73053,4,2.16216
"dr.",4,7.73053,3,1.62162
"podtrzymać",4,7.73053,4,2.16216
"uwidocznić",4,7.73053,3,1.62162
"marginalizować",4,7.73053,3,1.62162
"pokazić",4,7.73053,3,1.62162
"mieszać",4,7.73053,4,2.16216
"widziałam",4,7.73053,3,1.62162
"wiedzieliśmy",4,7.73053,3,1.62162
"mijać",4,7.73053,3,1.62162
"woleć",4,7.73053,3,1.62162
"milknąć",4,7.73053,4,2.16216
"milczeć",4,7.73053,2,1.08108
"popełniać",4,7.73053,2,1.08108
"współfinansować",4,7.73053,3,1.62162
"współpracowaliśmy",4,7.73053,4,2.16216
"poradzić",4,7.73053,4,2.16216
"wybrakować",4,7.73053,2,1.08108
"mogłaby",4,7.73053,3,1.62162
"wyciąć",4,7.73053,2,1.08108
"wybudować",4,7.73053,4,2.16216
"wyczuwać",4,7.73053,4,2.16216
"postanawiać",4,7.73053,4,2.16216
"postępować",4,7.73053,3,1.62162
"wyeksponować",4,7.73053,3,1.62162
"motywować",4,7.73053,3,1.62162
"dzwonić",4,7.73053,3,1.62162
"porzucić",4,7.73053,3,1.62162
"wygrać",4,7.73053,3,1.62162
"wymuszać",4,7.73053,3,1.62162
"wyniść",4,7.73053,2,1.08108
"wystąpiłam",4,7.73053,1,0.54054
"wypędzić",4,7.73053,3,1.62162
"wyruszyć",4,7.73053,4,2.16216
"wzmóc",4,7.73053,3,1.62162
"profesjonalizować",4,7.73053,4,2.16216
"programować",4,7.73053,2,1.08108
"prostować",4,7.73053,3,1.62162
"determinować",4,7.73053,4,2.16216
"zaglądać",4,7.73053,3,1.62162
"dopisać",4,7.73053,3,1.62162
"zakurzyć",4,7.73053,4,2.16216
"napędzać",4,7.73053,3,1.62162
"odsunąć",4,7.73053,3,1.62162
"zadeklarować",4,7.73053,3,1.62162
"zadziałać",4,7.73053,2,1.08108
"zapamiętywać",4,7.73053,4,2.16216
"przeczyć",4,7.73053,2,1.08108
"naruszyć",4,7.73053,3,1.62162
"zagrzybić",4,7.73053,3,1.62162
"zagospodarować",4,7.73053,4,2.16216
"przepisywać",4,7.73053,3,1.62162
"przegrać",4,7.73053,2,1.08108
"zakroić",4,7.73053,4,2.16216
"zakładaliśmy",4,7.73053,1,0.54054
"przeszkadzać",4,7.73053,2,1.08108
"zasygnalizować",4,7.73053,3,1.62162
"przekształcać",4,7.73053,3,1.62162
"zamordować",4,7.73053,3,1.62162
"zaniechać",4,7.73053,3,1.62162
"sprzedawać",4,7.73053,3,1.62162
"zaginąć",4,7.73053,2,1.08108
"zamienić",4,7.73053,4,2.16216
"zaniedbać",4,7.73053,2,1.08108
"zapaść",4,7.73053,4,2.16216
"zapełnić",4,7.73053,3,1.62162
"nawoływać",4,7.73053,4,2.16216
"zapobiec",4,7.73053,4,2.16216
"zapobiegać",4,7.73053,4,2.16216
"zanotować",4,7.73053,3,1.62162
"przepakować",4,7.73053,3,1.62162
"zapowiedzieć",4,7.73053,3,1.62162
"zaprzepaścić",4,7.73053,1,0.54054
"zdejmować",4,7.73053,3,1.62162
"zaprzestać",4,7.73053,3,1.62162
