object_id,object_uri,title,description,image_uri
65e8f7fa34041602704029,https://muzeumcyfrowe.mnwr.pl/obiekt/obraz-cxliii-prosta-dazaca,Obraz CXLIII (Prosta dążąca),"Gierowski, Stefan, 1963",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/65e8f7fa34041602704029.jpg
65e8f7f9610da949864215,https://muzeumcyfrowe.mnwr.pl/obiekt/obraz-cxli-czerwona-atmosfera-przestrzeni,Obraz CXLI (Czerwona atmosfera przestrzeni),"Gierowski, Stefan, 1963",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/65e8f7f9610da949864215.jpg
6553fd9e34e57070591803,https://muzeumcyfrowe.mnwr.pl/obiekt/pompadurka-pompadour,Pompadurka (Pompadour),"Brzozowski, Tadeusz, 1964",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fd9e34e57070591803.jpg
6553fda33fa05827314786,https://muzeumcyfrowe.mnwr.pl/obiekt/pejzaz-z-karkonoszy,Pejzaż z Karkonoszy,"Mazurkiewicz, Alfons, 1964",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fda33fa05827314786.jpg
6553fda4e33d2295247343,https://muzeumcyfrowe.mnwr.pl/obiekt/relief-aluminiowy-2,Relief aluminiowy 2,"Stażewski, Henryk, 1965",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fda4e33d2295247343.jpg
654e400ea4dcf004438080,https://muzeumcyfrowe.mnwr.pl/obiekt/akt-z-oknem,Akt z oknem,"Nowosielski, Jerzy, 1965",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e400ea4dcf004438080.jpg
6553fd9c61ccc423404015,https://muzeumcyfrowe.mnwr.pl/obiekt/westibule,Westibule,"Brzozowski, Tadeusz, 1965",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fd9c61ccc423404015.jpg
6553fda540db0266969735,https://muzeumcyfrowe.mnwr.pl/obiekt/milczenie-rodzajow,Milczenie rodzajów,"Stern, Jonasz, 1965",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fda540db0266969735.jpg
6553fda1224bc632339578,https://muzeumcyfrowe.mnwr.pl/obiekt/pietnascie-szescianow-z-cyklu-uklady-otwarte,Piętnaście sześcianów z cyklu Układy otwarte,"Gołkowska, Wanda, 1967",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fda1224bc632339578.jpg
6553fda04c0f7442372091,https://muzeumcyfrowe.mnwr.pl/obiekt/reprodukcje,Reprodukcje,"Chwałczyk, Jan, 1968",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fda04c0f7442372091.jpg
654e4008b653a285462672,https://muzeumcyfrowe.mnwr.pl/obiekt/przeciwstawienie-ix,Przeciwstawienie IX,"Hałas, Józef, 1969",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e4008b653a285462672.jpg
6553fda0226c2691539923,https://muzeumcyfrowe.mnwr.pl/obiekt/kalikanty-organ-blowers,Kalikanty (Organ Blowers),"Brzozowski, Tadeusz, 1969",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fda0226c2691539923.jpg
6553fda41ce67102716824,https://muzeumcyfrowe.mnwr.pl/obiekt/kompozycja,Kompozycja,"Maziarska, Jadwiga, 1969",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fda41ce67102716824.jpg
6553fd99df9a6218347858,https://muzeumcyfrowe.mnwr.pl/obiekt/dusery,Dusery,"Brzozowski, Tadeusz, 1969",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fd99df9a6218347858.jpg
6553fd9ab8214190576555,https://muzeumcyfrowe.mnwr.pl/obiekt/zycbad,Zycbad,"Brzozowski, Tadeusz, 1969",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fd9ab8214190576555.jpg
6553fd9b831ea688982041,https://muzeumcyfrowe.mnwr.pl/obiekt/frejlina-ii,Frejlina II,"Brzozowski, Tadeusz, 1972",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fd9b831ea688982041.jpg
65e8f7f3b554f064456706,https://muzeumcyfrowe.mnwr.pl/obiekt/galant,Galant,"Brzozowski, Tadeusz, 1972",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/65e8f7f3b554f064456706.jpg
6553fd9b435e5999741304,https://muzeumcyfrowe.mnwr.pl/obiekt/kiep,Kiep,"Brzozowski, Tadeusz, 1972",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fd9b435e5999741304.jpg
6553fd9ce2569091679056,https://muzeumcyfrowe.mnwr.pl/obiekt/rejwach,Rejwach,"Brzozowski, Tadeusz, 1973-1976",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fd9ce2569091679056.jpg
6553fd9ca185d345070445,https://muzeumcyfrowe.mnwr.pl/obiekt/chryja,Chryja,"Brzozowski, Tadeusz, 1973-1976",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fd9ca185d345070445.jpg
6553fd9d69d0b558523627,https://muzeumcyfrowe.mnwr.pl/obiekt/strychulec-strickle,Strychulec (Strickle),"Brzozowski, Tadeusz, 1975",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fd9d69d0b558523627.jpg
6553fda0d585e938875345,https://muzeumcyfrowe.mnwr.pl/obiekt/obled-ludu,Obłęd ludu,"Dwurnik, Edward, 1982",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fda0d585e938875345.jpg
6553fdb0e2e4b418916324,https://muzeumcyfrowe.mnwr.pl/obiekt/kolaps-glowa-wizyjna,Kolaps – Głowa Wizyjna,"Lach-Lachowicz, Natalia, 1990",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fdb0e2e4b418916324.jpg
6553fdb9e8f1b445389191,https://muzeumcyfrowe.mnwr.pl/obiekt/nocne-historie-orzel-baselitza,Nocne historie. Orzeł Baselitza.,"Nitka, Zdzisław, 2001",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fdb9e8f1b445389191.jpg
6553fdba83161875028440,https://muzeumcyfrowe.mnwr.pl/obiekt/plomien-zycia,Płomień życia,"Althamer, Paweł, 2001",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fdba83161875028440.jpg
654e6886a1d57156771448,https://muzeumcyfrowe.mnwr.pl/obiekt/pieta-4,Pieta,"Boruta, Tadeusz, 2004",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e6886a1d57156771448.jpg
6553fdb6aa098907455874,https://muzeumcyfrowe.mnwr.pl/obiekt/puste-pelne,Puste – Pełne,"Twardowski, Lech, 2006",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fdb6aa098907455874.jpg
654e4010019d4067022839,https://muzeumcyfrowe.mnwr.pl/obiekt/bez-tytulu,Bez tytułu,"Janas, Piotr, 2012",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e4010019d4067022839.jpg
654e48bf22737261267125,https://muzeumcyfrowe.mnwr.pl/obiekt/bez-tytulu-3,Bez tytułu,"Ziółkowski, Jakub Julian, 2013",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e48bf22737261267125.jpg
654e48dbae2ce568465563,https://muzeumcyfrowe.mnwr.pl/obiekt/pierwszy-czlowiek,Pierwszy człowiek,"Ziółkowski, Jakub Julian, 2014",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e48dbae2ce568465563.jpg
654e4029d1260111234601,https://muzeumcyfrowe.mnwr.pl/obiekt/prekambr,Prekambr,"Jastrzębski, Adam, 2015",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e4029d1260111234601.jpg
654e439c14fdb029189775,https://muzeumcyfrowe.mnwr.pl/obiekt/wyrazy-wizualne-z-natury-nr-4,Wyrazy wizualne /z natury/ nr 4,"Śliz, Urszula, 2018",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e439c14fdb029189775.jpg
654e451b4ad63727618187,https://muzeumcyfrowe.mnwr.pl/obiekt/portret-klementyny-z-kozietulskich-walickiej,Portret Klementyny z Kozietulskich Walickiej,"Grassi, Józef, 1804",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e451b4ad63727618187.jpg
