"article_title","article_id","filename","nchar"
"Muzeum Górnictwa w Przybramiu","4056636","Muzeum_Górnictwa_w_Przybramiu__pageid-4056636.txt",4656
"Muzeum Hansa Klossa w Katowicach","1689863","Muzeum_Hansa_Klossa_w_Katowicach__pageid-1689863.txt",3825
"Muzeum Henryka Sienkiewicza w Oblęgorku","1960245","Muzeum_Henryka_Sienkiewicza_w_Oblęgorku__pageid-1960245.txt",7206
"Muzeum Historii Naturalnej w Lejdzie","3142446","Muzeum_Historii_Naturalnej_w_Lejdzie__pageid-3142446.txt",657
"Muzeum Historii Przemysłu w Opatówku","1292269","Muzeum_Historii_Przemysłu_w_Opatówku__pageid-1292269.txt",2636
"Muzeum Historyczne Miasta Krakowa","504652","Muzeum_Historyczne_Miasta_Krakowa__pageid-504652.txt",3568
"Muzeum Historyczne w Sanoku","1205061","Muzeum_Historyczne_w_Sanoku__pageid-1205061.txt",6205
"Muzeum Il Ħaġar w Victorii","4672121","Muzeum_Il_Ħaġar_w_Victorii__pageid-4672121.txt",2188
"Muzeum im  Hindenburga w Poznaniu","2967378","Muzeum_im__Hindenburga_w_Poznaniu__pageid-2967378.txt",3263
"Muzeum im  Jacka Malczewskiego w Radomiu","1370524","Muzeum_im__Jacka_Malczewskiego_w_Radomiu__pageid-1370524.txt",17574
"Muzeum im  Orła Białego","56780","Muzeum_im__Orła_Białego__pageid-56780.txt",2260
"Muzeum im  Zofii i Wacława Nałkowskich","2742595","Muzeum_im__Zofii_i_Wacława_Nałkowskich__pageid-2742595.txt",3054
"Muzeum Karola Świerczewskiego w Jabłonkach","3097600","Muzeum_Karola_Świerczewskiego_w_Jabłonkach__pageid-3097600.txt",710
"Muzeum Kaszubskie im  Franciszka Tredera w Kartuzach","21153","Muzeum_Kaszubskie_im__Franciszka_Tredera_w_Kartuzach__pageid-21153.txt",1181
"Muzeum Kaszubsko Pomorskie w Sopocie","3012200","Muzeum_Kaszubsko_Pomorskie_w_Sopocie__pageid-3012200.txt",586
"Muzeum Kazimierza Pułaskiego w Warce","2289802","Muzeum_Kazimierza_Pułaskiego_w_Warce__pageid-2289802.txt",2841
"Muzeum klasycznych samochodów na Malcie","4858641","Muzeum_klasycznych_samochodów_na_Malcie__pageid-4858641.txt",590
"Muzeum Kolejnictwa w Warszawie","543182","Muzeum_Kolejnictwa_w_Warszawie__pageid-543182.txt",7311
"Muzeum Kornela Makuszyńskiego w Zakopanem","4802084","Muzeum_Kornela_Makuszyńskiego_w_Zakopanem__pageid-4802084.txt",1557
"Muzeum Kowalstwa w Warszawie","4620175","Muzeum_Kowalstwa_w_Warszawie__pageid-4620175.txt",2454
"Muzeum Kowalstwa w Wojciechowie","1417389","Muzeum_Kowalstwa_w_Wojciechowie__pageid-1417389.txt",1614
"Muzeum Kultury Lalkarskiej w Chrudimiu","3614720","Muzeum_Kultury_Lalkarskiej_w_Chrudimiu__pageid-3614720.txt",1029
"Muzeum Kultury Romskiej w Brnie","5050979","Muzeum_Kultury_Romskiej_w_Brnie__pageid-5050979.txt",1426
"Muzeum Lat Szkolnych Stefana Żeromskiego","2320623","Muzeum_Lat_Szkolnych_Stefana_Żeromskiego__pageid-2320623.txt",4647
"Muzeum Lenina w Poroninie","940538","Muzeum_Lenina_w_Poroninie__pageid-940538.txt",2485
"Muzeum Limburskie w Venlo","1793458","Muzeum_Limburskie_w_Venlo__pageid-1793458.txt",659
"Muzeum Literatury im  Adama Mickiewicza w Warszawie","924499","Muzeum_Literatury_im__Adama_Mickiewicza_w_Warszawie__pageid-924499.txt",1238
"Muzeum Lotnictwa Polskiego w Krakowie","98857","Muzeum_Lotnictwa_Polskiego_w_Krakowie__pageid-98857.txt",18302
"Muzeum Lubuskie im  Jana Dekerta w Gorzowie Wielkopolskim","602943","Muzeum_Lubuskie_im__Jana_Dekerta_w_Gorzowie_Wielkopolskim__pageid-602943.txt",7489
"Muzeum Ludowych Instrumentów Muzycznych w Szydłowcu","1033347","Muzeum_Ludowych_Instrumentów_Muzycznych_w_Szydłowcu__pageid-1033347.txt",18209
"Muzeum Martyrologii  Pod Zegarem  w Lublinie","917453","Muzeum_Martyrologii__Pod_Zegarem__w_Lublinie__pageid-917453.txt",1108
"Muzeum Mazowieckie w Płocku","402923","Muzeum_Mazowieckie_w_Płocku__pageid-402923.txt",1370
"Muzeum Medycyny i Farmacji Śląskiego Uniwersytetu Medycznego","5532330","Muzeum_Medycyny_i_Farmacji_Śląskiego_Uniwersytetu_Medycznego__pageid-5532330.txt",905
"Muzeum Miasta i Rzeki Warty","3138689","Muzeum_Miasta_i_Rzeki_Warty__pageid-3138689.txt",2577
"Muzeum Michaiła Kutuzowa w Bolesławcu","3508236","Muzeum_Michaiła_Kutuzowa_w_Bolesławcu__pageid-3508236.txt",1979
"Muzeum Miejskie Dzierżoniowa","3031008","Muzeum_Miejskie_Dzierżoniowa__pageid-3031008.txt",579
"Muzeum Miejskie w Świętochłowicach","462635","Muzeum_Miejskie_w_Świętochłowicach__pageid-462635.txt",2575
"Muzeum Misiów w Zakopanem","3167109","Muzeum_Misiów_w_Zakopanem__pageid-3167109.txt",633
"Muzeum Młynarstwa Powietrznego w Bęsi","3150846","Muzeum_Młynarstwa_Powietrznego_w_Bęsi__pageid-3150846.txt",1313
"Muzeum Morskie Malty","4373502","Muzeum_Morskie_Malty__pageid-4373502.txt",14399
"Muzeum Motoryzacji w Nieborowie","5014535","Muzeum_Motoryzacji_w_Nieborowie__pageid-5014535.txt",601
"Muzeum Mydła i Historii Brudu w Bydgoszczy","2912336","Muzeum_Mydła_i_Historii_Brudu_w_Bydgoszczy__pageid-2912336.txt",2180
"Muzeum Nadwiślańskie w Kazimierzu Dolnym","3087224","Muzeum_Nadwiślańskie_w_Kazimierzu_Dolnym__pageid-3087224.txt",877
"Muzeum Napoleońskie","2488985","Muzeum_Napoleońskie__pageid-2488985.txt",879
"Muzeum Narodowe Demokratycznej Republiki Konga","4778605","Muzeum_Narodowe_Demokratycznej_Republiki_Konga__pageid-4778605.txt",961
"Muzeum Narodowe Tanzanii","3854809","Muzeum_Narodowe_Tanzanii__pageid-3854809.txt",4720
"Muzeum Narodowe w Kielcach","1530325","Muzeum_Narodowe_w_Kielcach__pageid-1530325.txt",18142
"Muzeum Narodowe w Krakowie","482463","Muzeum_Narodowe_w_Krakowie__pageid-482463.txt",41395
"Muzeum Narodowe w Lublinie","917138","Muzeum_Narodowe_w_Lublinie__pageid-917138.txt",4716
"Muzeum Narodowe w Warszawie","3939","Muzeum_Narodowe_w_Warszawie__pageid-3939.txt",40778
"Muzeum Narodowe Ziemi Przemyskiej w Przemyślu","1136676","Muzeum_Narodowe_Ziemi_Przemyskiej_w_Przemyślu__pageid-1136676.txt",2525
"Muzeum Nauki Nemo w Amsterdamie","5416604","Muzeum_Nauki_Nemo_w_Amsterdamie__pageid-5416604.txt",565
"Muzeum Niepodległości w Warszawie","686846","Muzeum_Niepodległości_w_Warszawie__pageid-686846.txt",868
"Muzeum Obojga Narodów w Bielsku Podlaskim","2812781","Muzeum_Obojga_Narodów_w_Bielsku_Podlaskim__pageid-2812781.txt",4321
"Muzeum Okręgowe im  Leona Wyczółkowskiego w Bydgoszczy","1919803","Muzeum_Okręgowe_im__Leona_Wyczółkowskiego_w_Bydgoszczy__pageid-1919803.txt",25432
"Muzeum Okręgowe w Rzeszowie","402697","Muzeum_Okręgowe_w_Rzeszowie__pageid-402697.txt",2121
"Muzeum Okręgowe w Toruniu","1089558","Muzeum_Okręgowe_w_Toruniu__pageid-1089558.txt",11045
"Muzeum Okręgowe Ziemi Kaliskiej w Kaliszu","1000874","Muzeum_Okręgowe_Ziemi_Kaliskiej_w_Kaliszu__pageid-1000874.txt",2552
"Muzeum Oręża Polskiego w Kołobrzegu","1157414","Muzeum_Oręża_Polskiego_w_Kołobrzegu__pageid-1157414.txt",5263
"Muzeum Ostrawskie","2329842","Muzeum_Ostrawskie__pageid-2329842.txt",1356
"Muzeum Pałacu Króla Jana III w Wilanowie","808010","Muzeum_Pałacu_Króla_Jana_III_w_Wilanowie__pageid-808010.txt",1571
"Muzeum Pierwszych Piastów na Lednicy","1683536","Muzeum_Pierwszych_Piastów_na_Lednicy__pageid-1683536.txt",3962
"Muzeum Piśmiennictwa i Drukarstwa","1847638","Muzeum_Piśmiennictwa_i_Drukarstwa__pageid-1847638.txt",2469
"Muzeum Początków Państwa Polskiego w Gnieźnie","781571","Muzeum_Początków_Państwa_Polskiego_w_Gnieźnie__pageid-781571.txt",3844
"Muzeum Poczty Malty","3973479","Muzeum_Poczty_Malty__pageid-3973479.txt",2645
"Muzeum Podkarpackie w Krośnie","606609","Muzeum_Podkarpackie_w_Krośnie__pageid-606609.txt",1177
"Muzeum Podlaskie w Białymstoku","78813","Muzeum_Podlaskie_w_Białymstoku__pageid-78813.txt",9154
"Muzeum Polskiej Piosenki w Opolu","2997097","Muzeum_Polskiej_Piosenki_w_Opolu__pageid-2997097.txt",6260
"Muzeum Polskiej Sztuki Ludowej","1763306","Muzeum_Polskiej_Sztuki_Ludowej__pageid-1763306.txt",2147
"Muzeum Południowego Podlasia w Białej Podlaskiej","1189794","Muzeum_Południowego_Podlasia_w_Białej_Podlaskiej__pageid-1189794.txt",6193
"Muzeum Pomorza Środkowego w Słupsku","105071","Muzeum_Pomorza_Środkowego_w_Słupsku__pageid-105071.txt",3293
"Muzeum Powstania Warszawskiego","287520","Muzeum_Powstania_Warszawskiego__pageid-287520.txt",34900
"Muzeum Przyrody  Etnografii i Sztuki w Srokowie","3500540","Muzeum_Przyrody__Etnografii_i_Sztuki_w_Srokowie__pageid-3500540.txt",1440
"Muzeum Radia w Koszalinie","3325336","Muzeum_Radia_w_Koszalinie__pageid-3325336.txt",483
"Muzeum Regionalne w Brzozowie","1926351","Muzeum_Regionalne_w_Brzozowie__pageid-1926351.txt",3750
"Muzeum Regionalne w Stalowej Woli","892005","Muzeum_Regionalne_w_Stalowej_Woli__pageid-892005.txt",1591
"Muzeum Regionalne w Wojciechowie","1417397","Muzeum_Regionalne_w_Wojciechowie__pageid-1417397.txt",756
"Muzeum Rolnictwa i Młynarstwa w Rydzynie","3151207","Muzeum_Rolnictwa_i_Młynarstwa_w_Rydzynie__pageid-3151207.txt",1095
"Muzeum Sanktuarium w Żabbar","4198735","Muzeum_Sanktuarium_w_Żabbar__pageid-4198735.txt",5234
"Muzeum São Sebastião","2706474","Muzeum_São_Sebastião__pageid-2706474.txt",661
"Muzeum Sił Powietrznych w Dęblinie","2625392","Muzeum_Sił_Powietrznych_w_Dęblinie__pageid-2625392.txt",4981
"Muzeum Śląska Opolskiego w Opolu","385612","Muzeum_Śląska_Opolskiego_w_Opolu__pageid-385612.txt",4129
"Muzeum Śląskie w Katowicach","249722","Muzeum_Śląskie_w_Katowicach__pageid-249722.txt",28193
"Muzeum Sportu i Turystyki w Warszawie","1418679","Muzeum_Sportu_i_Turystyki_w_Warszawie__pageid-1418679.txt",756
"Muzeum Stutthof w Sztutowie","2739972","Muzeum_Stutthof_w_Sztutowie__pageid-2739972.txt",2197
"Muzeum Stworzenia","2755884","Muzeum_Stworzenia__pageid-2755884.txt",1129
"Muzeum Szlachty Mazowieckiej w Ciechanowie","5331603","Muzeum_Szlachty_Mazowieckiej_w_Ciechanowie__pageid-5331603.txt",4593
"Muzeum Szopek w Třebechovicach pod Orebem","4736320","Muzeum_Szopek_w_Třebechovicach_pod_Orebem__pageid-4736320.txt",1812
"Muzeum Sztuki w Denver","5038903","Muzeum_Sztuki_w_Denver__pageid-5038903.txt",3522
"Muzeum Tatry","1056409","Muzeum_Tatry__pageid-1056409.txt",1585
"Muzeum Tatrzańskie im  dra Tytusa Chałubińskiego w Zakopanem","268741","Muzeum_Tatrzańskie_im__dra_Tytusa_Chałubińskiego_w_Zakopanem__pageid-268741.txt",6358
"Muzeum Techniki Militarnej w Tarnowskich Górach","5395890","Muzeum_Techniki_Militarnej_w_Tarnowskich_Górach__pageid-5395890.txt",969
"Muzeum Techniki w Brnie","5182485","Muzeum_Techniki_w_Brnie__pageid-5182485.txt",2602
"Muzeum w Koszalinie","2368154","Muzeum_w_Koszalinie__pageid-2368154.txt",7954
"Muzeum w Łomnej Dolnej","5162272","Muzeum_w_Łomnej_Dolnej__pageid-5162272.txt",2777
"Muzeum w Łowiczu","2003576","Muzeum_w_Łowiczu__pageid-2003576.txt",3914
"Muzeum Warmii i Mazur w Olsztynie","646177","Muzeum_Warmii_i_Mazur_w_Olsztynie__pageid-646177.txt",3017
"Muzeum Wignacourta w Rabacie","4367754","Muzeum_Wignacourta_w_Rabacie__pageid-4367754.txt",3507
"Muzeum Witrażu w Krakowie","677933","Muzeum_Witrażu_w_Krakowie__pageid-677933.txt",2265
"Muzeum Wojny Overloon","5454155","Muzeum_Wojny_Overloon__pageid-5454155.txt",1636
"Muzeum Wschodnioczeskie w Pardubicach","2875049","Muzeum_Wschodnioczeskie_w_Pardubicach__pageid-2875049.txt",1017
"Muzeum Wsi Kieleckiej w Kielcach","479775","Muzeum_Wsi_Kieleckiej_w_Kielcach__pageid-479775.txt",7245
"Muzeum Wsi Lubelskiej w Lublinie","160563","Muzeum_Wsi_Lubelskiej_w_Lublinie__pageid-160563.txt",3172
"Muzeum Wsi Opolskiej w Opolu","158300","Muzeum_Wsi_Opolskiej_w_Opolu__pageid-158300.txt",14376
"Muzeum Wsi Radomskiej w Radomiu","2033563","Muzeum_Wsi_Radomskiej_w_Radomiu__pageid-2033563.txt",4806
"Muzeum Zamek Opalińskich","2007394","Muzeum_Zamek_Opalińskich__pageid-2007394.txt",2823
"Muzeum Zamkowe w Sandomierzu","5312154","Muzeum_Zamkowe_w_Sandomierzu__pageid-5312154.txt",4055
"Muzeum Zamoyskich w Kozłówce","3003261","Muzeum_Zamoyskich_w_Kozłówce__pageid-3003261.txt",3936
"Muzeum Żandarmerii i Kina w Saint Tropez","3982104","Muzeum_Żandarmerii_i_Kina_w_Saint_Tropez__pageid-3982104.txt",2045
"Muzeum Ziemi Kłodzkiej w Kłodzku","645715","Muzeum_Ziemi_Kłodzkiej_w_Kłodzku__pageid-645715.txt",7926
"Muzeum Ziemi Kujawskiej i Dobrzyńskiej we Włocławku","2727060","Muzeum_Ziemi_Kujawskiej_i_Dobrzyńskiej_we_Włocławku__pageid-2727060.txt",5461
